source,ruling_title,chamber,ruling_name,ruling_type,ruling_content,case_label,ecli,lodge_date,document_date,country,judge,advocate,main_subject
61976CO0088,Order of the President of the Court of 19 October 1976,,  Société pour l'Exportation des Sucres v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 88-76 R,ECLI identifier: ECLI:EU:C:1976:140,16/09/1976,19/10/1976,Belgium,Donner,,AGRI
61975CO0044,Order of the President of the Court of 28 May 1975,,  Karl Könecke v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 44-75 R,ECLI identifier: ECLI:EU:C:1975:72,20/05/1975,28/05/1975,Germany,Lecourt,,AGRI
61974CO0100,Order of the Court of 12 May 1975,,  Société CAM SA v Council and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 100-74,ECLI identifier: ECLI:EU:C:1975:57,19/12/1974,12/05/1975,France,Mertens de Wilmars,Warner,AGRI
61974CO0071(01),Order of the Court of 23 October 1974,,  Nederlandse Vereniging voor de Fruit- en Groentenimporthandel; Nederlandse Bond van Grossiers in Zuidvruchten en ander Geimporteerd Fruit v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 71-74 - Interv,ECLI identifier: ECLI:EU:C:1974:110,30/09/1974,23/10/1974,Netherlands,Lecourt,,AGRI
61974CO0071,Order of the President of the Court of 15 October 1974,,  Nederlandse Vereniging voor de Fruit- en Groentenimporthandel; Nederlandse Bond van Grossiers in Zuidvruchten en ander Geimporteerd Fruit v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 71-74 R and RR,ECLI identifier: ECLI:EU:C:1974:103,23/09/1974,15/10/1974,Netherlands,Lecourt,,AGRI
61973CO0172,Order of the Court of 1 May 1974,,  Commission of the European Communities v Italian Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 172-73,ECLI identifier: ECLI:EU:C:1974:45,09/10/1973,01/05/1974,Italy,O'Dálaigh,Reischl,AGRI
61971CO0006,Order of the Court of 14 July 1971,,  Rheinmühlen-Düsseldorf v Einfuhr- und Vorratsstelle für Getreide und Futtermittel,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 6-71,ECLI identifier: ECLI:EU:C:1971:83,03/03/1971,14/07/1971,Germany,Kutscher,Dutheillet de Lamothe,AGRI
61969CO0050,Order of the Court of 5 October 1969,,  Federal Republic of Germany v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 50-69 R,ECLI identifier: ECLI:EU:C:1969:42,03/10/1969,05/10/1969,Germany,Pescatore,Gand,AGRI
61963CO0106,Order of the Court of 25 June 1964,,  Alfred Toepfer and Getreide-Import Gesellschaft v Commission of the EEC,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 106 and 107-63,ECLI identifier: ECLI:EU:C:1964:50,20/12/1963,25/06/1964,Germany,Hammes,Roemer,AGRI
61962CO0025(01),Order of the President of the Court of 21 December 1962,,  Plaumann & Co,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 25-62 R,ECLI identifier: ECLI:EU:C:1962:50,06/12/1962,21/12/1962,Germany,Donner,,AGRI
61962CO0031,Order of the Court of 30 October 1962,,  Milchwerke Heinz Wöhrmann & Sohn KG; Alfons Lütticke GmbH v Commission of the European Economic Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 31/62 and 33/62,ECLI identifier: ECLI:EU:C:1962:37,04/10/1962,30/10/1962,Germany,Hammes,Roemer,AGRI
61962CO0016,Order of the Court of 24 October 1962,,  Confédération nationale des producteurs de fruits et légumes; Fédération nationale des producteurs de fruits; Fédération nationale des producteurs de légumes v Council of the European Economic Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 16/62 and 17/62,ECLI identifier: ECLI:EU:C:1962:35,31/08/1962,24/10/1962,France,Riese,Lagrange,AGRI
61962CO0025,Order of the President of the Court of 31 August 1962,,  Plaumann & co,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 25-62 R,ECLI identifier: ECLI:EU:C:1962:32,16/08/1962,31/08/1962,Germany,Donner,,AGRI
61988CO0112,Order of the President of the Court of 6 May 1988,,  Crete Citron Producers Association v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 112/88 R,ECLI identifier: ECLI:EU:C:1988:241,07/04/1988,06/05/1988,Greece,Due,Cruz Vilaça,BPAI
61985CO0318,Order of the Court of 5 March 1986,,  Criminal proceedings against Regina Greis Unterweger,  Reference for a preliminary ruling: Commissione consultiva per le infrazioni valutarie - Italy,  Lack of jurisdiction de la Cour,  Case 318/85,ECLI identifier: ECLI:EU:C:1986:106,25/10/1985,05/03/1986,Italy,Koopmans,Mancini,BPAI
62001CO0180,Order of the President of the Court of 17 July 2001,,  Commission of the European Communities v National Association of Licensed Opencast Operators (NALOO),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-180/01 P-R,ECLI identifier: ECLI:EU:C:2001:423,22/05/2001,17/07/2001,United Kingdom,Jann,Alber,CECA
61997CO0151,Order of the President of the Court of 17 June 1997,,  National Power plc and PowerGen plc v British Coal Corporation and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases C-151/97 P(I) and C-157/97 P(I),ECLI identifier: ECLI:EU:C:1997:307,21/04/1997,17/06/1997,United Kingdom,,Lenz,CECA
61997CO0089,Order of the President of the Court of 30 April 1997,,  Moccia Irme SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-89/97 P(R),ECLI identifier: ECLI:EU:C:1997:226,27/02/1997,30/04/1997,Italy,,Elmer,CECA
61988CO0092,Order of the President of the Court of 2 May 1988,,  Associazione industrie siderurgiche italiane (Assider) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 92/88 R,ECLI identifier: ECLI:EU:C:1988:222,30/03/1988,02/05/1988,Italy,Schockweiler,Lenz,CECA
61983CO0183,Order of the Court (Fourth Chamber) of 20 November 1987,Fourth Chamber,  Krupp Stahl AG v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 183/83,ECLI identifier: ECLI:EU:C:1987:501,24/06/1987,20/11/1987,Germany,Kakouris,Mancini,CECA
61987CO0223,Order of the President of the Court of 10 August 1987,,  Associazione industrie siderurgiche italiane (Assider) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 223/87 R,ECLI identifier: ECLI:EU:C:1987:363,17/07/1987,10/08/1987,Italy,Schockweiler,Lenz,CECA
61987CO0209,Order of the President of the Court of 10 August 1987,,  Association des aciéries européennes indépendantes - European Independent Steelworks Association "EISA" v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 209/87 R,ECLI identifier: ECLI:EU:C:1987:361,09/07/1987,10/08/1987,Belgium,Schockweiler,Lenz,CECA
61987CO0214,Order of the President of the Court of 10 August 1987,,  Cockerill-Sambre v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 214/87 R,ECLI identifier: ECLI:EU:C:1987:362,13/07/1987,10/08/1987,Belgium,Schockweiler,Lenz,CECA
61986CO0095,Order of the Court (Third Chamber) of 17 March 1987,Third Chamber,  Ferriere San Carlo SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 95/86,ECLI identifier: ECLI:EU:C:1987:140,03/04/1986,17/03/1987,Italy,Galmot,Mancini,CECA
61985CO0360,Order of the President of the Court of 22 April 1986,,  Dillinger Hüttenwerke AG v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 360/85 R,ECLI identifier: ECLI:EU:C:1986:164,10/03/1986,22/04/1986,Germany,Kakouris,Cruz Vilaça,CECA
61985CO0351,Order of the President of the Court of 22 April 1986,,  Fabrique de fer de Charleroi v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 351/85 R,ECLI identifier: ECLI:EU:C:1986:163,26/02/1986,22/04/1986,Belgium,Kakouris,Cruz Vilaça,CECA
61986CO0048,Order of the President of the Court of 9 April 1986,,  J,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 48/86 R,ECLI identifier: ECLI:EU:C:1986:147,19/02/1986,09/04/1986,France,Everling,Mischo,CECA
61985CO0392,Order of the President of the Court of 7 March 1986,,  Finsider v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 392/85 R,ECLI identifier: ECLI:EU:C:1986:109,13/02/1986,07/03/1986,Italy,Due,Mancini,CECA
61985CO0025,Order of the President of the Court of 6 March 1985,,  Nuovo Campsider v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 25/85 R,ECLI identifier: ECLI:EU:C:1985:101,29/01/1985,06/03/1985,Italy,Joliet,Darmon,CECA
61984CO0062,Order of the President of the Court of 6 July 1984,,  Union sidérurgique du Nord et de l'Est de la France "Usinor" v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 62/84 R,ECLI identifier: ECLI:EU:C:1984:251,08/06/1984,06/07/1984,France,Pescatore,Lenz,CECA
61984CO0082,Order of the President of the Court of 4 July 1984,,  Metalgoi SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 82/84 R,ECLI identifier: ECLI:EU:C:1984:244,26/03/1984,04/07/1984,Italy,Pescatore,VerLoren van Themaat,CECA
61984CO0050,Order of the President of the Court of 23 May 1984,,  Srl Bensider and others v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 50/84 R,ECLI identifier: ECLI:EU:C:1984:190,25/02/1984,23/05/1984,Belgium; Italy,Due,Mancini,CECA
61984CO0037,Order of the Court of 28 March 1984,,  European Independent Steelworks Association v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 37/84 R,ECLI identifier: ECLI:EU:C:1984:134,13/02/1984,28/03/1984,Belgium,Due,Mancini,CECA
61984CO0045,Order of the Court of 28 March 1984,,  European Independent Steelwork Association v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 45/84 R,ECLI identifier: ECLI:EU:C:1984:135,20/02/1984,28/03/1984,Belgium,Due,Mancini,CECA
61983CO0075,Order of the Court of 19 October 1983,,  SpA Ferriere San Carlo v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 75/83,ECLI identifier: ECLI:EU:C:1983:283,29/04/1983,19/10/1983,Italy,Galmot,Reischl,CECA
61983CO0078,Order of the President of the Court of 5 July 1983,,  Union sidérurgique du Nord et de l'Est de la France "Usinor" v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 78/83 R,ECLI identifier: ECLI:EU:C:1983:190,10/06/1983,05/07/1983,France,Pescatore,Sir Gordon Slynn,CECA
61982CO0348,Order of the President of the Court of 20 April 1983,,  IRO Industrie Riunite Odolesi SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 348/82 R,ECLI identifier: ECLI:EU:C:1983:103,15/03/1983,20/04/1983,Italy,Koopmans,Reischl,CECA
61983CO0010,Order of the President of the Court of 20 April 1983,,  Metalgoi SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 10/83 R,ECLI identifier: ECLI:EU:C:1983:104,15/03/1983,20/04/1983,Italy,Pescatore,VerLoren van Themaat,CECA
61982CO0234,Order of the President of the Court of 15 March 1983,,  Ferriere di Roè Volciano SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 234/82 R,ECLI identifier: ECLI:EU:C:1983:76,22/02/1983,15/03/1983,Italy,Galmot,Reischl,CECA
61982CO0263(01),Order of the President of the Court of 7 December 1982,,  Klöckner-Werke AG v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 263/82 R II,ECLI identifier: ECLI:EU:C:1982:419,02/12/1982,07/12/1982,Germany,Bosco,Reischl,CECA
61982CO0263,Order of the President of the Court of 11 November 1982,,  Klöckner-Werke AG v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 263/82 R,ECLI identifier: ECLI:EU:C:1982:391,24/09/1982,11/11/1982,Germany,Bosco,Reischl,CECA
61982CO0220,Order of the President of the Court of 20 September 1982,,  Moselstahlwerk GmbH & Co,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 220/82 R,ECLI identifier: ECLI:EU:C:1982:298,27/08/1982,20/09/1982,Germany,Bosco,Reischl,CECA
61981CO0123,Order of the Court of 14 October 1981,,  Krupp Stahl AG v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Cases 123/81 and 123/81 R,ECLI identifier: ECLI:EU:C:1981:232,21/05/1981,14/10/1981,Germany,Mertens de Wilmars,Reischl,CECA
61981CO0041,Order of the President of the Court of 20 March 1981,,  Metallurgiki Halyps SA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 41/81 R,ECLI identifier: ECLI:EU:C:1981:73,20/02/1981,20/03/1981,Greece,Pescatore,Reischl,CECA
61981CO0020,Order of the President of the Court of 26 February 1981,,  Arbed SA and others v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 20/81 R,ECLI identifier: ECLI:EU:C:1981:61,04/02/1981,26/02/1981,Luxembourg; Germany,Mackenzie Stuart,Reischl,CECA
61980CO0258,Order of the President of the Court of 16 December 1980,,  SpA Metallurgica Rumi v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 258/80 R,ECLI identifier: ECLI:EU:C:1980:296,28/11/1980,16/12/1980,Italy,Mackenzie Stuart,Reischl,CECA
61979CO0031,Order of the President of the Court of 27 March 1979,,  Société des Aciéries de Montereau v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 31-79 R,ECLI identifier: ECLI:EU:C:1979:84,05/03/1979,27/03/1979,France,Kutscher,,CECA
61975CO0109(01),Order of the Court of 2 March 1977,,  National Carbonising Company Limited v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 109 and 114-75,ECLI identifier: ECLI:EU:C:1977:36,16/10/1975,02/03/1977,United Kingdom,Mackenzie Stuart,Mayras,CECA
61973CO0004(01),Order of the Court of 11 January 1977,,  J,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 4-73 - Enforcement,ECLI identifier: ECLI:EU:C:1977:1,29/10/1976,11/01/1977,Germany,Pescatore,,CECA
61975CO0109,Order of the President of the Court of 22 October 1975,,  National Carbonising Company Limited v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 109-75 R,ECLI identifier: ECLI:EU:C:1975:133,16/10/1975,22/10/1975,United Kingdom,Lecourt,,CECA
61973CO0004,Order of the Court (Second Chamber) of 24 September 1975,Second Chamber,  J,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 4-73,ECLI identifier: ECLI:EU:C:1975:114,14/07/1975,24/09/1975,Germany,Pescatore,Trabucchi,CECA
61975CO0003,Order of the President of the Court of 16 January 1975,,  Johnson & Firth Brown Ltd v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 3-75 R,ECLI identifier: ECLI:EU:C:1975:3,10/01/1975,16/01/1975,United Kingdom,Lecourt,,CECA
61973CO0160(01),Order of the President of the Court of 16 March 1974,,  Miles Druce & Co,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 160; 161 and 170-73 R II,ECLI identifier: ECLI:EU:C:1974:20,28/02/1974,16/03/1974,United Kingdom,Lecourt,,CECA
61973CO0160,Order of the President of the Court of 11 October 1973,,  Miles Druce & Co, Ltd, v Commission of the European Communities,  Joined cases 160 and 161-73 R,ECLI identifier: ECLI:EU:C:1973:106,31/08/1973,11/10/1973,United Kingdom,Lecourt,,CECA
61969CO0075,Order of the Court (Second Chamber) of 21 October 1970,Second Chamber,  Ernst Hake & Co,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 75-69,ECLI identifier: ECLI:EU:C:1970:82,14/09/1970,21/10/1970,Germany,Strauss,Dutheillet de Lamothe,CECA
61965CO0009(01),Order of the Court (Second Chamber) of 22 February 1968,Second Chamber,  Acciaierie San Michele SpA v High Authority of the ECSC,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 9 and 58-65,ECLI identifier: ECLI:EU:C:1968:10,24/11/1967,22/02/1968,Italy,Pescatore,Gand,CECA
61965CO0025,Order of the Court (Second Chamber) of 26 May 1967,Second Chamber,  Società Industriale Metallurgica di Napoli (Simet) v High Authority of the ECSC,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 25-65,ECLI identifier: ECLI:EU:C:1967:13,14/04/1967,26/05/1967,Italy,Hammes,Gand,CECA
61966CO0001,Order of the President of the Court of 17 March 1966,,  Spa Acciaierie e Ferriere Stefana Fratelli v High Authority of the ECSC,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 1-66 R,ECLI identifier: ECLI:EU:C:1966:12,12/02/1966,17/03/1966,Italy,Hammes,,CECA
61965CO0053,Order of the President of the Court of 24 September 1965,,  SpA Arturo Mondini v High Authority of the ECSC,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 53-65 R,ECLI identifier: ECLI:EU:C:1965:84,25/08/1965,24/09/1965,Italy,Hammes,,CECA
61965CO0009,Order of the Court of 22 June 1965,,  Acciaierie San Michele SpA (in liquidation) v High Authority ofthe ECSC,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 9-65,ECLI identifier: ECLI:EU:C:1965:63,28/04/1965,22/06/1965,Italy,Lecourt,Roemer,CECA
61965CO0002,Order of the President of the Court of 12 February 1965,,  Ferriera Ernesto Preo e Figli v High Authority of the ECSC,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 2-65 R,ECLI identifier: ECLI:EU:C:1965:11,25/01/1965,12/02/1965,Italy,Hammes,,CECA
61963CO0111,Order of the Court of 25 November 1964,,  Lemmerz-Werke GmbH v High Authority of the ECSC,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 111-63,ECLI identifier: ECLI:EU:C:1964:82,04/08/1964,25/11/1964,Germany,Strauss,Roemer,CECA
61964CO0036,Order of the President of the Court of 17 September 1964,,  Société rhénane d'exploitation et de manutention (Sorema) v High Authority of the ECSC,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 36-64 R,ECLI identifier: ECLI:EU:C:1964:68,14/08/1964,17/09/1964,France,Donner,,CECA
61963CO0067,Order of the President of the Court of 24 September 1963,,  Société rhénane d'exploitation et de manutention "Sorema" v High Authority of the European Coal and Steel Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 67/63 R,ECLI identifier: ECLI:EU:C:1963:22,04/06/1963,24/09/1963,France,Hammes,Roemer,CECA
61963CO0060,Order of the President of the Court of 1 July 1963,,  Acciaierie Ferriere Pietra Oddino v Haute Autorité de la CECA,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 60-63 R,ECLI identifier: ECLI:EU:C:1963:12,10/06/1963,01/07/1963,Italy,Donner,,CECA
61959CO0033,Order of the Court of 21 March 1962,,  Compagnie des hauts fourneaux de Chasse; Meroni & Co, Erba; Meroni & Co, Milan; v High Authority of the European Coal and Steel Community,  Joined cases 33/59; 46/59 and 47/59,ECLI identifier: ECLI:EU:C:1962:10,03/07/1959,21/03/1962,France; Italy,Riese,Lagrange,CECA
61960CO0019,Order of the Court of 31 January 1962,,  Société Fives Lille Cail and others v High Authority of the European Coal and Steel Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 19-60; 21-60; 2-61 and 3-61,ECLI identifier: ECLI:EU:C:1962:1,28/12/1961,31/01/1962,France,Hammes,Roemer,CECA
61960CO0013,Order of the Court of 3 May 1961,,  "Geitling" Ruhrkohlen-Verkaufsgesellschaft mbH and others v High Authority of the European Coal and Steel Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 13/60,ECLI identifier: ECLI:EU:C:1961:8,20/04/1961,03/05/1961,Germany,Rueff,Roemer,CECA
61959CO0004,Order of the Court of 18 May 1960,,  Mannesmann AG and others v High Authority of the European Coal and Steel Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 4-59 to 13-59,ECLI identifier: ECLI:EU:C:1960:25,14/04/1960,18/05/1960,Germany,Hammes,Roemer,CECA
61959CO0025,Order of the Court of 19 February 1960,,  Kingdom of the Netherlands v High Authority of the European Coal and Steel Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 25-59,ECLI identifier: ECLI:EU:C:1960:7,09/11/1959,19/02/1960,Netherlands,Hammes,Roemer,CECA
61959CO0015,Order of the Court of 30 June 1959,,  Société métallurgique de Knutange v High Authority of the European Coal and Steel Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 15-59 and 29-59,ECLI identifier: ECLI:EU:C:1959:13,28/04/1959,30/06/1959,France,Catalano,Lagrange,CECA
61959CO0031,Order of the President of the Court of 26 June 1959,,  Acciaieria e Tubificio di Brescia v High Authority of the European Coal and Steel Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 31-59 R,ECLI identifier: ECLI:EU:C:1959:12,08/06/1959,26/06/1959,Italy,Hammes,,CECA
61959CO0021,Order of the President of the Court of 20 May 1959,,  Italian Republic v High Authority of the European Coal and Steel Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 21-59 R,ECLI identifier: ECLI:EU:C:1959:9,04/04/1959,20/05/1959,Italy,Hammes,Roemer,CECA
61959CO0019,Order of the Court of 12 May 1959,,  "Geitling" Ruhrkohlen-Verkaufsgesellschaft mbH; "Mausegatt" Ruhrkohlen-Verkaufsgesellschaft mbH "Präsident" Ruhrkohlen-Verkaufsgesellschaft mbH and associated companies v High Authority of the European Coal and Steel Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 19-59 R - Joined cases 16-59; 17-59 and 18-59,ECLI identifier: ECLI:EU:C:1959:8,25/03/1959,12/05/1959,Germany,Delvaux,Lagrange,CECA
61959CO0002,Order of the President of the Court of 30 January 1959,,  Mannesmann AG and others v High Authority of the European Coal and Steel Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 2-59 R - Joined cases 4-59 to 13-59,ECLI identifier: ECLI:EU:C:1959:2,27/01/1959,30/01/1959,Germany,Donner,,CECA
61957CO0018,Order of the Court of 4 December 1957,,  Firma J,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 18-57 R,ECLI identifier: ECLI:EU:C:1957:11,03/10/1957,04/12/1957,Germany,Hammes,Roemer,CECA
61954CO0008,Order of the Court of 24 November 1955,,  Association des Utilisateurs de Charbon du Grand-Duché de Luxembourg v High Authority of the European Coal and Steel Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 8-54 and 10-54,ECLI identifier: ECLI:EU:C:1955:13,30/09/1955,24/11/1955,Luxembourg,Rueff,Roemer,CECA
61954CO0007,Order of the Court of 24 November 1955,,  Groupement des Industries Sidérurgiques Luxembourgeoises v High Authority of the European Coal and Steel Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 7-54 and 9-54,ECLI identifier: ECLI:EU:C:1955:12,30/09/1955,24/11/1955,Luxembourg,Rueff,Roemer,CECA
62002CO0069,Order of the Court (First Chamber) of 22 March 2002,First Chamber,  Tilly Reichling v Léon Wampach,  Reference for a preliminary ruling: Tribunal de paix de Luxembourg - Grand Duchy of Luxemburg,  Brussels Convention - Protocol on the interpretation by the Court of Justice of the Convention - National courts which may request the Court to give a preliminary ruling - Manifest lack of jurisdiction of the Court,  Case C-69/02,ECLI identifier: ECLI:EU:C:2002:221,01/03/2002,22/03/2002,Luxembourg,Rosas,Alber,CECC
61999CO0518,Order of the Court (Sixth Chamber) of 5 April 2001,Sixth Chamber,  Richard Gaillard v Alaya Chekili,  Reference for a preliminary ruling: Cour d'appel de Bruxelles - Belgium,  Article 104(3) of the Rules of Procedure - Brussels Convention - Article 16(1) - Exclusive jurisdiction in proceedings which have as their object rights in rem in immovable property - Scope - Action for rescission of a contract of sale of immovable property and for damages,  Case C-518/99,ECLI identifier: ECLI:EU:C:2001:209,31/12/1999,05/04/2001,Belgium,Schintgen,Léger,CECC
61984CO0056,Order of the Court of 28 March 1984,,  Christoph von Gallera v Gisèle Maître,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 56/84,ECLI identifier: ECLI:EU:C:1984:136,01/03/1984,28/03/1984,France,Everling,Sir Gordon Slynn,CECC
61983CO0080,Order of the Court of 9 November 1983,,  Habourdin International SA and Banque nationale de Paris v SpA Italocremona,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 80/83,ECLI identifier: ECLI:EU:C:1983:321,06/05/1983,09/11/1983,Italy,Bosco,Sir Gordon Slynn,CECC
61995CO0046,Order of the President of the Court of 11 March 1997,,  Commission of the European Communities v Grand Duchy of Luxemburg,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-46/95,ECLI identifier: ECLI:EU:C:1997:142,24/02/1995,11/03/1997,Luxembourg,Edward,Elmer,CEEA
61990CO0308,Order of the Court of 7 December 1990,,  Advanced Nuclear Fuels GmbH v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-308/90,ECLI identifier: ECLI:EU:C:1990:448,06/10/1990,07/12/1990,Germany,Mancini,Jacobs,CEEA
62014CO0411,Order of the Court (Second Chamber) of 28 January 2015,Second Chamber,  Romano Pisciotti v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-411/14 P,ECLI identifier: ECLI:EU:C:2015:48,29/08/2014,28/01/2015,Italy,Silva de Lapuerta,Wahl,CIT
62014CO0019,Order of the Court (Sixth Chamber); 3 July 2014,Sixth Chamber,Ana-Maria Talasca and Angelina Marita Talasca v Stadt Kevelaer,Request for a preliminary ruling from the Sozialgericht Duisburg,Reference for a preliminary ruling — Articles 53(2) and 94 of the Rules of Procedure of the Court — Lack of sufficient information concerning the factual and regulatory background to the dispute in the main proceedings and the reasons why an answer to the question referred for a preliminary ruling is considered necessary — Manifest inadmissibility,Case C‑19/14,ECLI identifier: ECLI:EU:C:2014:2049,16/01/2014,03/07/2014,Germany,Berger,Wahl,CIT
62011CO0172,Order of the Court (Fifth Chamber) of 27 February 2014,Fifth Chamber,Georges Erny v Daimler AG - Werk Wörth,Reference for a preliminary ruling from Arbeitsgericht Ludwigshafen am Rhein,Rectification of a judgment,Case C-172/11,ECLI identifier: ECLI:EU:C:2014:157,28/06/2012,27/02/2014,Germany,Rosas,,CIT
62013CO0014,Order of the Court (Eighth Chamber) of 6 June 2013,Eighth Chamber,  Gena Ivanova Cholakova v Osmo rayonno upravlenie pri Stolichna direktsia na vatreshnite raboti,  Reference for a preliminary ruling: Administrativen sad Sofia-grad - Bulgaria,  Request for a preliminary ruling - Articles 21(1) TFEU; 67 TFEU and 72 TFEU - Charter of Fundamental Rights of the European Union - National rules permitting a person to be detained in order to establish his identity - Lack of connection with European Union law - Clear lack of jurisdiction of the Court,  Case C-14/13,ECLI identifier: ECLI:EU:C:2013:374,10/01/2013,06/06/2013,Bulgaria,Ó Caoimh,Mengozzi,CIT
62011CO0114,Order of the Court (Seventh Chamber) of 27 April 2012,Seventh Chamber,  Staatssecretaris van Financiën v U,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-114/11,ECLI identifier: ECLI:EU:C:2012:256,07/03/2011,27/04/2012,Netherlands,Silva de Lapuerta,Kokott,CIT
62009CO0345,Order of the Court (Sixth Chamber) of 9 February 2011,Sixth Chamber,  O, Fokkens,  Application for interpretation - Inadmissibility,  Case C-345/09 INT,ECLI identifier: ECLI:EU:C:2011:57,10/12/2010,09/02/2011,Netherlands,Ó Caoimh,Jääskinen,CIT
