source,subject
62010CO0145,Right of establishment
62011CO0522,Immigration and asylum policy
62011CO0522,area of freedom; security and justice
62012CO0324,judicial cooperation in civil matters
62012CO0324,area of freedom; security and justice
62012CO0312,Fundamental rights
62012CO0312,Principles; objectives and tasks of the Treaties
62012CO0312,General provisions
62012CO0312,Immigration and asylum policy
62012CO0312,area of freedom; security and justice
62012CO0074,area of freedom; security and justice
62012CO0075,area of freedom; security and justice
62012CO0073,area of freedom; security and justice
62012CO0156,area of freedom; security and justice
62012CO0156,Charter of Fundamental Rights
62012CO0156,judicial cooperation in civil matters
62012CO0156,Fundamental rights
62012CO0185,judicial cooperation in civil matters
62012CO0185,area of freedom; security and justice
62011CO0144,area of freedom; security and justice
62011CO0155,area of freedom; security and justice
62011CO0155,Immigration and asylum policy
62009CO0312,judicial cooperation in civil matters
62009CO0312,area of freedom; security and justice
62009CO0278,area of freedom; security and justice
62009CO0278,judicial cooperation in civil matters
62005CO0408,asylum policy
62005CO0408,area of freedom; security and justice
62003CO0555,area of freedom; security and justice
62003CO0555,judicial cooperation in civil matters
62003CO0051,Border checks
62003CO0051,area of freedom; security and justice
62014CO0275,Taxation
62013CO0275,Energy
62013CO0275,State aids
62013CO0275,Competition
62011CO0608,Energy
62011CO0608,Provisions governing the Institutions
62006CO0122(01),Energy
62006CO0122(01),Competition
62006CO0122(01),PROC
62006CO0122(01),Agreements; decisions and concerted practices
61999CO0077,Energy
61997CO0334,Energy
61997CO0399,Energy
62015CO0369,Environment
62015CO0369,Pollution
62014CO0565(01),Environment
62014CO0551(01),Environment
62014CO0564,Pollution
62014CO0564,Environment
62015CO0691,Environment
62016CO0170,Environment
62015CO0456,Fundamental rights
62015CO0456,Pollution
62015CO0456,Environment
62015CO0456,Provisions governing the Institutions
62015CO0456,Charter of Fundamental Rights
62015CO0456,Acts of the institutions
62014CO0502,Charter of Fundamental Rights
62014CO0502,Acts of the institutions
62014CO0502,Environment
62014CO0502,Provisions governing the Institutions
62014CO0502,Pollution
62014CO0502,Fundamental rights
62015CO0279,Environment
62014CO0580,Environment
62014CO0156,Environment
62013CO0592,Environment
62014CO0254,Approximation of laws
62014CO0254,Environment
62013CO0288,Approximation of laws
62013CO0288,public health
62013CO0288,Environment
62013CO0289,Approximation of laws
62013CO0289,public health
62013CO0289,Environment
62013CO0290,Environment
62013CO0290,public health
62013CO0290,Approximation of laws
62013CO0287,Environment
62013CO0287,public health
62013CO0287,Approximation of laws
62013CO0329,Environment
62013CO0199,public health
62013CO0199,Environment
62013CO0199,Approximation of laws
62012CO0542,Environment
62012CO0542,public health
62012CO0542,Animal feedingstuffs
62012CO0542,Agriculture and Fisheries
62012CO0542,Approximation of laws
62012CO0240,Environment
62012CO0240,Waste
62011CO0647,Environment
62011CO0407,Environment
62011CO0372,Environment
62009CO0177,Approximation of laws
62009CO0177,Environment
62010CO0605,Approximation of laws
62010CO0605,Environment
62010CO0540,Approximation of laws
62010CO0540,Environment
62008CO0517,Agriculture and Fisheries
62008CO0517,Approximation of laws
62008CO0517,Environment
62008CO0517,Plant health legislation
62009CO0408,Environment
62008CO0478,Environment
62008CO0478,Pollution
62009CO0024,Environment
62009CO0024,Pollution
62008CO0573,Environment
62008CO0391,Environment
62008CO0501,Environment
62008CO0501,Cohesion Fund
62008CO0501,economic; social and territorial cohesion
62008CO0421,Environment
62008CO0415,Environment
62008CO0498,Environment
62008CO0498,Provisions governing the Institutions
62008CO0454,Environment
62007CO0374,Environment
62007CO0277,Environment
62007CO0156,Environment
62008CO0006,Environment
62008CO0006,Pollution
62008CO0076,Environment
62007CO0503,Environment
62007CO0503,Pollution
62006CO0459,Agriculture and Fisheries
62006CO0459,Environment
62006CO0459,Plant health legislation
62006CO0503(01),Environment
62006CO0503,Environment
62005CO0026,Environment
62005CO0026,Waste
62005CO0026,Approximation of laws
62003CO0320(02),Free movement of goods
62003CO0320(02),Quantitative restrictions
62003CO0320(02),Environment
62003CO0320(02),Measures having equivalent effect
62003CO0320(02),Transport
62002CO0235,Environment
62002CO0235,Approximation of laws
62002CO0235,Waste
62003CO0320(01),Free movement of goods
62003CO0320(01),Measures having equivalent effect
62003CO0320(01),Transport
62003CO0320(01),Quantitative restrictions
62003CO0320(01),Environment
62003CO0320,Free movement of goods
62003CO0320,Measures having equivalent effect
62003CO0320,Transport
62003CO0320,Quantitative restrictions
62003CO0320,Environment
62000CO0307,Environment
62000CO0307,Quantitative restrictions
62000CO0307,Measures having equivalent effect
62000CO0307,Free movement of goods
62000CO0307,Waste
62000CO0307,Approximation of laws
62001CO0120,Environment
62001CO0120,Waste
62000CO0116,Waste
62000CO0116,Competition
62000CO0116,Approximation of laws
62000CO0116,Agreements; decisions and concerted practices
62000CO0116,Free movement of goods
62000CO0116,Dominant position
62000CO0116,Environment
62000CO0116,Quantitative restrictions
62000CO0116,Measures having equivalent effect
61994CO0325,Approximation of laws
61994CO0325,economic; social and territorial cohesion
61994CO0325,POLL
61994CO0325,European Regional Development Fund (ERDF)
61994CO0325,Environment
61990CO0195(01),Taxation
61990CO0195(01),Transport
61990CO0195(01),Environment
61990CO0195,Environment
61990CO0195,Taxation
61990CO0195,Transport
61989CO0057,Environment
61989CO0057,Approximation of laws
62017CO0486,Approximation of laws
62017CO0486,public procurement in the European Union
62017CO0486,Freedom to provide services
62017CO0486,Right of establishment
62017CO0259,Free movement of capital
62017CO0259,Internal market - Principles
62017CO0259,Consumer protection
62017CO0259,Approximation of laws
62017CO0259,Right of establishment
62017CO0259,Principles; objectives and tasks of the Treaties
62016CO0655,Right of establishment
62017CO0166,Right of establishment
62017CO0166,Freedom to provide services
62017CO0187,Freedom to provide services
62017CO0187,Right of establishment
62017CO0187,Approximation of laws
62017CO0035,Freedom to provide services
62017CO0035,Right of establishment
62017CO0035,Approximation of laws
62016CO0110,Right of establishment
62016CO0110,Freedom to provide services
62016CO0595,Right of establishment
62016CO0595,Freedom to provide services
62016CO0595,Competition
62016CO0581,Freedom to provide services
62016CO0581,Right of establishment
62016CO0582,Right of establishment
62016CO0582,Freedom to provide services
62016CO0555,Right of establishment
62016CO0555,Freedom to provide services
62016CO0345,Right of establishment
62016CO0345,Free movement of workers
62015CO0697,Approximation of laws
62015CO0697,Freedom to provide services
62015CO0697,Right of establishment
62016CO0162,Approximation of laws
62016CO0162,Right of establishment
62016CO0162,Freedom to provide services
62016CO0140,Approximation of laws
62016CO0140,Freedom to provide services
62016CO0140,Right of establishment
62015CO0526,Charter of Fundamental Rights
62015CO0526,Fundamental rights
62015CO0526,Right of establishment
62015CO0526,Freedom to provide services
62016CO0010,Transport
62016CO0010,Right of establishment
62016CO0010,Freedom to provide services
62015CO0542,Right of establishment
62015CO0542,Freedom to provide services
62015CO0542,Approximation of laws
62015CO0438,Freedom to provide services
62015CO0438,Right of establishment
62016CO0141,Freedom of establishment
62016CO0141,Freedom to provide services
62016CO0141,Right of establishment
62015CO0214,Right of establishment
62015CO0214,Freedom to provide services
62015CO0214,Approximation of laws
62015CO0129,Right of establishment
62015CO0129,Freedom to provide services
62015CO0129,Approximation of laws
62015CO0634,Right of establishment
62015CO0692,Freedom to provide services
62015CO0692,Right of establishment
62015CO0504,Freedom to provide services
62015CO0504,Right of establishment
62014CO0437,Right of establishment
62014CO0437,Freedom to provide services
62016CO0008,Freedom to provide services
62016CO0008,Right of establishment
62014CO0435,Freedom to provide services
62014CO0435,Right of establishment
62014CO0474,Right of establishment
62014CO0474,Freedom to provide services
62014CO0433,Right of establishment
62014CO0433,Freedom to provide services
62014CO0534,Right of establishment
62014CO0534,Freedom to provide services
62014CO0436,Freedom to provide services
62014CO0436,Right of establishment
62014CO0434,Right of establishment
62014CO0434,Freedom to provide services
62014CO0467,Freedom to provide services
62014CO0467,Right of establishment
62014CO0210,Freedom to provide services
62014CO0210,Right of establishment
62014CO0462,Right of establishment
62014CO0462,Freedom to provide services
62015CO0065,Right of establishment
62015CO0065,Freedom to provide services
62015CO0151,Freedom to provide services
62015CO0151,Right of establishment
62015CO0151,Approximation of laws
62014CO0318,Transport
62014CO0318,Right of establishment
62014CO0203,Right of establishment
62014CO0203,Freedom to provide services
62014CO0203,Approximation of laws
62015CO0023,Principles; objectives and tasks of the Treaties
62015CO0023,Freedom to provide services
62015CO0023,Right of establishment
62015CO0023,Competition
62014CO0478,Right of establishment
62014CO0478,Freedom to provide services
62014CO0480,Freedom to provide services
62014CO0480,Right of establishment
62013CO0651,Right of establishment
62013CO0652,Right of establishment
62014CO0457,Right of establishment
62014CO0457,Freedom to provide services
62013CO0427,Freedom to provide services
62013CO0427,Right of establishment
62013CO0427,Approximation of laws
62014CO0107,Right of establishment
62014CO0107,Free movement of capital
62012CO0510,Right of establishment
62013CO0025,Telecommunications
62013CO0025,Right of establishment
62013CO0025,Freedom to provide services
62013CO0025,Approximation of laws
62013CO0355,Right of establishment
62013CO0355,Freedom to provide services
62013CO0355,Telecommunications
62013CO0355,Approximation of laws
62012CO0376,Approximation of laws
62012CO0376,Right of establishment
62012CO0376,Freedom to provide services
62012CO0376,Telecommunications
62011CO0564,Approximation of laws
62011CO0564,Freedom to provide services
62011CO0564,Right of establishment
62010CO0145,area of freedom; security and justice
62010CO0145,judicial cooperation in civil matters
62010CO0145,Right of establishment
62010CO0229,Approximation of laws
62010CO0229,Freedom to provide services
62010CO0229,Right of establishment
62010CO0252,Approximation of laws
62010CO0252,Procedural provisions
62010CO0252,Right of establishment
62010CO0252,Freedom to provide services
62011CO0502,Right of establishment
62011CO0502,Freedom to provide services
62011CO0502,Approximation of laws
62010CO0529,Right of establishment
62010CO0529,Principles; objectives and tasks of the Treaties
62010CO0529,Competition
62010CO0529,State aids
62010CO0529,Free movement of capital
62010CO0529,Taxation
62010CO0164,Freedom to provide services
62010CO0164,Right of establishment
62011CO0612,Freedom to provide services
62011CO0612,Right of establishment
62010CO0413,Right of establishment
62010CO0413,Freedom to provide services
62010CO0255,Right of establishment
62010CO0255,Freedom to provide services
62011CO0368,Right of establishment
62011CO0368,Freedom to provide services
62010CO0279,Right of establishment
62010CO0279,Freedom to provide services
62011CO0107,Freedom to provide services
62011CO0107,Right of establishment
62010CO0501,Freedom to provide services
62010CO0501,Right of establishment
62010CO0302,Copyright and related rights
62010CO0302,Approximation of laws
62010CO0302,Intellectual; industrial and commercial property
62010CO0302,Freedom to provide services
62010CO0302,Right of establishment
62008CO0315,Right of establishment
62009CO0217,Right of establishment
62009CO0492,Approximation of laws
62009CO0492,Telecommunications
62009CO0492,Freedom to provide services
62009CO0492,Right of establishment
62010CO0194,Right of establishment
62010CO0194,Approximation of laws
62010CO0199,Right of establishment
62010CO0199,Non-discrimination on grounds of nationality
62010CO0199,Taxation
62010CO0199,Free movement of capital
62010CO0199,anti-discrimination
62010CO0102,Right of establishment
62010CO0102,Approximation of laws
62010CO0102,Freedom to provide services
62008CO0563,Right of establishment
62009CO0298,Freedom to provide services
62009CO0298,Right of establishment
62008CO0114(01),Right of establishment
62008CO0114(01),Freedom to provide services
62008CO0114(01),Provisions governing the Institutions
62009CO0136,Intellectual; industrial and commercial property
62009CO0136,Approximation of laws
62009CO0136,Right of establishment
62009CO0136,Freedom to provide services
62009CO0136,DADV
62008CO0055,Right of establishment
62008CO0055,Freedom to provide services
62008CO0055,Free movement of capital
62008CO0497,Right of establishment
62008CO0497,Principles; objectives and tasks of the Treaties
62009CO0143,Consumer protection
62009CO0143,Approximation of laws
62009CO0143,Telecommunications
62009CO0143,Right of establishment
62009CO0143,Freedom to provide services
62007CO0439,Free movement of capital
62007CO0439,Taxation
62007CO0439,Approximation of laws
62007CO0439,Right of establishment
62007CO0557,Approximation of laws
62007CO0557,Intellectual; industrial and commercial property
62007CO0557,DADV
62007CO0557,Freedom to provide services
62007CO0557,Right of establishment
62008CO0364,Freedom to provide services
62008CO0364,Right of establishment
62008CO0364,Free movement of workers
62008CO0180,Free movement of workers
62008CO0180,Right of establishment
62008CO0180,Freedom to provide services
62007CO0386,Competition
62007CO0386,Free movement of workers
62007CO0386,Agreements; decisions and concerted practices
62007CO0386,Right of establishment
62007CO0323,Right of establishment
62007CO0323,Approximation of laws
62005CO0201,Freedom to provide services
62005CO0201,Free movement of capital
62005CO0201,Right of establishment
62005CO0201,Taxation
62007CO0229,Right of establishment
62007CO0012,State aids
62007CO0012,Competition
62007CO0012,Approximation of laws
62007CO0012,Freedom to provide services
62007CO0012,Right of establishment
62007CO0012,Agreements; decisions and concerted practices
62006CO0415,Right of establishment
62006CO0415,Free movement of capital
62007CO0072,Right of establishment
62006CO0191,Freedom to provide services
62006CO0191,Right of establishment
62005CO0397,Right of establishment
62005CO0397,Freedom to provide services
62005CO0395,Freedom to provide services
62005CO0395,Right of establishment
62005CO0466,Right of establishment
62005CO0466,Freedom to provide services
62004CO0291,Right of establishment
62003CO0023,Right of establishment
62004CO0447,Right of establishment
62004CO0447,Approximation of laws
62002CO0435,Right of establishment
62003CO0268,Right of establishment
62003CO0268,Free movement of capital
62003CO0085,Freedom to provide services
62003CO0085,Right of establishment
62002CO0035,Right of establishment
62002CO0035,Freedom to provide services
62002CO0035,Free movement of workers
62001CO0445,Agreements; decisions and concerted practices
62001CO0445,Right of establishment
62001CO0445,Competition
62001CO0445,Free movement of workers
62001CO0204,Right of establishment
62001CO0204,Non-discrimination on grounds of nationality
62001CO0204,Freedom to provide services
62001CO0204,Principles; objectives and tasks of the Treaties
62001CO0204,anti-discrimination
62001CO0204,Free movement of workers
62001CO0431,Right of establishment
62001CO0431,Taxation
62001CO0431,Free movement of workers
62000CO0358,Approximation of laws
62000CO0358,Right of establishment
62000CO0358,Freedom to provide services
62000CO0447,Right of establishment
62000CO0086,Right of establishment
61998CO0290,Free movement of capital
61998CO0290,Right of establishment
61996CO0354,Right of establishment
61994CO0095,Right of establishment
61992CO0424,Right of establishment
61992CO0424,Agreements; decisions and concerted practices
61992CO0424,Dominant position
61992CO0424,Freedom to provide services
61992CO0424,Concerted practices
61992CO0424,Competition
61992CO0424,State aids
61991CO0272(01),Freedom to provide services
61991CO0272(01),Free movement of goods
61991CO0272(01),Right of establishment
61991CO0272(01),Quantitative restrictions
61991CO0272(01),Measures having equivalent effect
61991CO0272(01),Approximation of laws
61991CO0272,Approximation of laws
61991CO0272,Measures having equivalent effect
61991CO0272,Quantitative restrictions
61991CO0272,Right of establishment
61991CO0272,Freedom to provide services
61991CO0272,Free movement of goods
61989CO0246,Agriculture and Fisheries
61989CO0246,Fisheries policy
61989CO0246,Right of establishment

62017CO0551,Common foreign and security policy
62017CO0551,External relations
62017CO0549,External relations
62017CO0549,Common foreign and security policy
62017CO0549,Procedural provisions
62017CO0550,Procedural provisions
62017CO0550,External relations
62017CO0550,Common foreign and security policy
62016CO0476(01),Transport
62016CO0476(01),External relations
62016CO0476(01),international agreements
62016CO0505,Common foreign and security policy
62016CO0505,External relations
62016CO0385,Common foreign and security policy
62016CO0385,External relations
62016CO0222,Free movement of goods
62016CO0222,Common customs tariff
62016CO0222,Commercial policy
62016CO0222,External relations
62016CO0222,Customs Union
62016CO0222,Dumping
62015CO0345,Dumping
62015CO0345,Commercial policy
62015CO0345,External relations
62015CO0319,Charter of Fundamental Rights
62015CO0319,Fundamental rights
62015CO0319,Common foreign and security policy
62015CO0319,European Convention on Human Rights
62015CO0319,External relations
62015CO0142,Commercial policy
62015CO0142,External relations
62015CO0142,Dumping
62015CO0312,Commercial policy
62015CO0312,External relations
62015CO0312,Dumping
62012CO0015,Dumping
62012CO0015,Procedural provisions
62012CO0015,External relations
62012CO0015,Commercial policy
62015CO0153,Common foreign and security policy
62015CO0153,External relations
62014CO0545,Common foreign and security policy
62014CO0545,External relations
62012CO0601,Procedural provisions
62012CO0601,Dumping
62012CO0601,Commercial policy
62012CO0601,External relations
62015CO0136,External relations
62015CO0136,Common foreign and security policy
62014CO0021,Dumping
62014CO0021,Commercial policy
62014CO0021,External relations
62013CO0397,Common foreign and security policy
62013CO0397,External relations
62013CO0372,Intellectual; industrial and commercial property
62013CO0372,Patents
62013CO0372,Commercial policy
62013CO0372,External relations
62013CO0462,Commercial policy
62013CO0462,External relations
62013CO0462,Intellectual; industrial and commercial property
62012CO0471,Provisions governing the Institutions
62012CO0471,External relations
62012CO0235,External relations
62012CO0235,Provisions governing the Institutions
62012CO0037,Dumping
62012CO0037,External relations
62012CO0037,Commercial policy
62012CO0037,Common customs tariff
62012CO0037,Free movement of goods
62012CO0037,Customs Union
62012CO0168,External relations
62012CO0168,Common foreign and security policy
62011CO0581,External relations
62011CO0581,international agreements
62011CO0581,Development cooperation
62012CO0110,External relations
62012CO0110,Common foreign and security policy
62011CO0644,Common foreign and security policy
62011CO0644,External relations
62011CO0656,Social security for migrant workers
62011CO0656,External relations
62011CO0656,Free movement of workers
62011CO0348,Provisions governing the Institutions
62011CO0348,Financial provisions
62011CO0348,External relations
62011CO0348,Commercial policy
62011CO0348,Free movement of goods
62011CO0348,Dumping
62011CO0348,Customs Union
62011CO0002,External relations
62011CO0002,Commercial policy
62011CO0002,Dumping
62011CO0003,External relations
62011CO0003,Commercial policy
62011CO0003,Dumping
62011CO0272,External relations
62010CO0476,External relations
62010CO0476,European Free Trade Association (EFTA)
62010CO0476,Free movement of capital
62010CO0433,External relations
62009CO0337,External relations
62009CO0337,Commercial policy
62009CO0337,Dumping
62010CO0526,African; Caribbean and Pacific States (ACP)
62010CO0526,Non-contractual liability
62010CO0526,External relations
62009CO0498,Dumping
62009CO0498,Customs Union
62009CO0498,Commercial policy
62009CO0498,External relations
62009CO0498,Free movement of goods
62007CO0204,PROC
62007CO0204,Customs Union
62007CO0204,Association Agreement
62007CO0204,External relations
62007CO0204,Free movement of goods
62007CO0132,Intellectual; industrial and commercial property
62007CO0132,Commercial policy
62007CO0132,External relations
62007CO0132,Free movement of goods
62007CO0132,Customs Union
62008CO0152,External relations
62008CO0152,Association Agreement
62008CO0152,Free movement of workers
62007CO0463,Commercial policy
62007CO0463,External relations
62007CO0463,Dumping
62007CO0462,Commercial policy
62007CO0462,External relations
62007CO0462,Dumping
62006CO0255,Association Agreement
62006CO0255,External relations
62006CO0276,Social security for migrant workers
62006CO0276,Association Agreement
62006CO0276,Fundamental rights
62006CO0276,External relations
62005CO0368,External relations
62005CO0368,Approximation of laws
62004CO0231,Association Agreement
62004CO0231,External relations
62004CO0231,Commercial policy
62005CO0336,anti-discrimination
62005CO0336,Non-discrimination on grounds of nationality
62005CO0336,External relations
62005CO0336,Free movement of workers
62005CO0336,Association Agreement
62005CO0336,Social security for migrant workers
62004CO0317,Principles; objectives and tasks of the Treaties
62004CO0317,Data protection
62004CO0317,External relations
62004CO0317,Provisions governing the Institutions
62004CO0318,Provisions governing the Institutions
62004CO0318,External relations
62004CO0318,Data protection
62004CO0318,Principles; objectives and tasks of the Treaties
62002CO0023,Social security for migrant workers
62002CO0023,External relations
62001CO0406,Consumer protection
62001CO0406,Approximation of laws
62001CO0406,External relations
62001CO0406,Commercial policy
62001CO0404,Dumping
62001CO0404,External relations
62001CO0404,Commercial policy
62000CO0430,Agriculture and Fisheries
62000CO0430,Bananas
62000CO0430,External relations
62000CO0430,Fruit and vegetables
62000CO0430,Commercial policy
61999CO0307,Agriculture and Fisheries
61999CO0307,General Agreement on Tariffs and Trade (GATT)
61999CO0307,Commercial policy
61999CO0307,Fruit and vegetables
61999CO0307,External relations
61999CO0307,Bananas
62000CO0317,Common foreign and security policy
62000CO0317,External relations
62000CO0317,Free movement of capital
61998CO0377,Approximation of laws
61998CO0377,Principles; objectives and tasks of the Treaties
61998CO0377,External relations
61998CO0017,Sugar
61998CO0017,Agriculture and Fisheries
61998CO0017,External relations
61998CO0017,Association Agreement
61999CO0349,External relations
61999CO0349,public procurement in the European Union
61998CO0364,Sugar
61998CO0364,Agriculture and Fisheries
61998CO0364,External relations
61998CO0364,Overseas countries and territories
61998CO0364,Association Agreement
61998CO0363,Overseas countries and territories
61998CO0363,Agriculture and Fisheries
61998CO0363,Sugar
61998CO0363,External relations
61998CO0363,Association Agreement
61998CO0159,External relations
61998CO0159,Overseas countries and territories
61998CO0043,Bananas
61998CO0043,External relations
61998CO0043,Fruit and vegetables
61998CO0043,Commercial policy
61998CO0043,Agriculture and Fisheries
61997CO0110,External relations
61997CO0110,Association Agreement
61997CO0110,Rice
61997CO0110,Overseas countries and territories
61997CO0110,Agriculture and Fisheries
61995CO0051,Agriculture and Fisheries
61995CO0051,External relations
61995CO0051,Commercial policy
61995CO0051,Fruit and vegetables
61995CO0293,Agriculture and Fisheries
61995CO0293,External relations
61995CO0293,Fisheries policy
61995CO0019,public procurement in the European Union
61995CO0019,African; Caribbean and Pacific States (ACP)
61995CO0019,External relations
61995CO0019,Non-contractual liability
61995CO0019,European Development Fund (EDF)
61994CO0120(01),External relations
61994CO0120(01),Commercial policy
61995CO0245(01),Dumping
61995CO0245(01),External relations
61995CO0245(01),Commercial policy
61995CO0245,External relations
61995CO0245,Commercial policy
61995CO0245,Dumping
61994CO0120,External relations
61994CO0120,Commercial policy
61993CO0428,Competition
61993CO0428,Quantitative restrictions
61993CO0428,Measures having equivalent effect
61993CO0428,Free movement of goods
61993CO0428,External relations
61993CO0428,Commercial policy
61993CO0428,Agreements; decisions and concerted practices
61994CO0006,External relations
61994CO0006,Commercial policy
61994CO0006,Dumping
61993CO0388,Dumping
61993CO0388,External relations
61993CO0388,Commercial policy
61992CO0429,External relations
61992CO0429,Commercial policy
61992CO0429,Association Agreement
61992CO0429,African; Caribbean and Pacific States (ACP)
61992CO0429,Protective measures
61993CO0257(01),Agriculture and Fisheries
61993CO0257(01),Commercial policy
61993CO0257(01),Fruit and vegetables
61993CO0257(01),External relations
61993CO0257(01),Bananas
61993CO0280,Fruit and vegetables
61993CO0280,External relations
61993CO0280,Agriculture and Fisheries
61993CO0280,Bananas
61993CO0280,Commercial policy
61993CO0276,Agriculture and Fisheries
61993CO0276,Bananas
61993CO0276,External relations
61993CO0276,Commercial policy
61993CO0276,Fruit and vegetables
61993CO0257,Bananas
61993CO0257,External relations
61993CO0257,Commercial policy
61993CO0257,Fruit and vegetables
61993CO0257,Agriculture and Fisheries
61992CO0386,Free movement of goods
61992CO0386,External relations
61992CO0386,Agreements; decisions and concerted practices
61992CO0386,Commercial policy
61992CO0386,Quantitative restrictions
61992CO0386,Competition
61992CO0386,Measures having equivalent effect
61990CO0250,External relations
61990CO0250,public procurement in the European Union
61990CO0250,Agriculture and Fisheries
61990CO0250,Food aid
61990CO0257,European Development Fund (EDF)
61990CO0257,public procurement in the European Union
61990CO0257,External relations
61987CO0241,Non-contractual liability
61987CO0241,External relations
61989CO0358,Dumping
61989CO0358,Commercial policy
61989CO0358,External relations
61989CO0069,External relations
61989CO0069,Commercial policy
61989CO0069,Dumping
61988CO0191(01),Commercial policy
61988CO0191(01),External relations
61988CO0191,External relations
61988CO0191,Commercial policy
61987CO0205,Commercial policy
61987CO0205,External relations
61987CO0205,Dumping
61987CO0150,External relations
61987CO0150,Commercial policy
61987CO0150,Dumping
61986CO0229,Dumping
61986CO0229,Common customs tariff
61986CO0229,Commercial policy
61986CO0229,External relations
61986CO0229,Free movement of goods
61986CO0229,Customs Union
61986CO0301,Dumping
61986CO0301,External relations
61986CO0301,Commercial policy
61986CO0279,Dumping
61986CO0279,External relations
61986CO0279,Commercial policy
61986CO0295,Dumping
61986CO0295,External relations
61986CO0295,Commercial policy
61987CO0133,Dumping
61987CO0133,External relations
61987CO0133,Commercial policy
61986CO0304(01),Dumping
61986CO0304(01),External relations
61986CO0304(01),Commercial policy
61987CO0082,Protective measures
61987CO0082,External relations
61987CO0082,Commercial policy
61987CO0077,External relations
61987CO0077,Commercial policy
61987CO0077,Dumping
61986CO0121(02),Commercial policy
61986CO0121(02),External relations
61986CO0121(02),Dumping
61986CO0129(01),Dumping
61986CO0129(01),External relations
61986CO0129(01),Commercial policy
61986CO0121(01),Dumping
61986CO0121(01),External relations
61986CO0121(01),Commercial policy
61986CO0304,Dumping
61986CO0304,External relations
61986CO0304,Commercial policy
61986CO0294,Dumping
61986CO0294,External relations
61986CO0294,Commercial policy
61985CO0299,Dumping
61985CO0299,External relations
61985CO0299,Commercial policy
61986CO0231,European Development Fund (EDF)
61986CO0231,public procurement in the European Union
61986CO0231,External relations
61986CO0121,External relations
61986CO0121,Commercial policy
61986CO0121,Dumping
61986CO0129,Dumping
61986CO0129,Commercial policy
61986CO0129,External relations
61984CO0297,Free movement of workers
61984CO0297,External relations
61984CO0297,Association Agreement
61985CO0082(01),Agriculture and Fisheries
61985CO0082(01),Cereals
61985CO0082(01),External relations
61985CO0082(01),Commercial policy
61985CO0297,External relations
61985CO0297,Commercial policy
61985CO0297,Dumping
61985CO0277,Dumping
61985CO0277,External relations
61985CO0277,Commercial policy
61985CO0260,External relations
61985CO0260,Commercial policy
61985CO0260,Dumping
61985CO0250,External relations
61985CO0250,Commercial policy
61985CO0250,Dumping
61985CO0273,External relations
61985CO0273,Commercial policy
61985CO0273,Dumping
61984CO0256,External relations
61984CO0256,Commercial policy
61984CO0256,Dumping
61985CO0082,Agriculture and Fisheries
61985CO0082,Cereals
61985CO0082,External relations
61985CO0082,Commercial policy
61984CO0258,Dumping
61984CO0258,External relations
61984CO0258,Commercial policy
61984CO0240,External relations
61984CO0240,Commercial policy
61984CO0240,Dumping
61984CO0001,External relations
61984CO0001,Commercial policy
61984CO0001,Protective measures
61983CO0118,European Development Fund (EDF)
61983CO0118,public procurement in the European Union
61983CO0118,External relations
61983CO0118,African; Caribbean and Pacific States (ACP)
61983CO0120,Dumping
61983CO0120,External relations
61983CO0120,Commercial policy
61982CO0091,External relations
61982CO0091,Commercial policy
61981CO0236,Commercial policy
61981CO0236,External relations
61981CO0236,Dumping
62017CO0243,Own resources
62016CO0491,Own resources
62016CO0491,economic; social and territorial cohesion
62016CO0491,European Social Fund (ESF)
62016CO0491,European Regional Development Fund (ERDF)
62016CO0491,Cohesion Fund
62016CO0491,Financial provisions
62014CO0259,Financial provisions
62014CO0259,Procedural provisions
62014CO0259,Budget
62014CO0259,area of freedom; security and justice
62014CO0013,Financial provisions
62014CO0013,Own resources
62012CO0436,public procurement in the European Union
62012CO0436,State aids
62012CO0436,Competition
62012CO0436,Financial provisions
62012CO0418,Financial provisions
62012CO0418,public procurement in the European Union
62011CO0597,Financial provisions
62011CO0597,public procurement in the European Union
62011CO0348,Provisions governing the Institutions
62011CO0348,Financial provisions
62011CO0348,External relations
62011CO0348,Commercial policy
62011CO0348,Free movement of goods
62011CO0348,Dumping
62011CO0348,Customs Union
62009CO0358,Financial provisions
62009CO0358,Own resources
62006CO0457,Own resources
62006CO0457,Financial provisions
62006CO0163,Own resources
62006CO0163,Financial provisions
61998CO0299,Free movement of goods
61998CO0299,Customs Union
61998CO0299,Own resources
61998CO0299,Financial provisions
61992CO0123,Financial provisions
61992CO0123,Own resources
61992CO0123,Customs Union
61992CO0123,Free movement of goods
61992CO0123,Common customs tariff
61987CO0378,Financial provisions
61987CO0378,Free movement of goods
61987CO0378,Own resources
61987CO0378,Common customs tariff
61987CO0378,Customs Union
61986CO0221(01),Provisions governing the Institutions
61986CO0221(01),Financial provisions
61986CO0221(01),Budget
61986CO0221,Provisions governing the Institutions
61986CO0221,Financial provisions
61986CO0221,Budget
61986CO0085,Privileges and immunities
61986CO0085,Financial provisions
61986CO0023,Financial provisions
61986CO0023,Budget
61986CO0023,Provisions governing the Institutions
61984CO0160(02),Own resources
61984CO0160(02),Cereals
61984CO0160(02),Financial provisions
61984CO0160(02),Agriculture and Fisheries
61984CO0160(01),Agriculture and Fisheries
61984CO0160(01),Financial provisions
61984CO0160(01),Own resources
61984CO0160(01),Cereals
61983CO0216,Budget
61983CO0216,Financial provisions
61983CO0216,Provisions governing the Institutions
